date,state,district,latitude,longitude,T2M,RH2M,WS2M,PRECTOTCORR
2023-10-06,Haryana,Bhiwani,28.73219288472609,75.89337821950218,29.31,34.77,2.27,0.0
2023-10-06,Haryana,Charkhi Dadri,28.600107403877978,76.11252943314335,28.3,40.74,2.1,0.0
2023-10-06,Haryana,Faridabad,28.357120662974943,77.32652466206271,25.17,59.55,1.78,0.0
2023-10-06,Haryana,Fatehabad,29.535920901544625,75.57529013938226,27.89,38.5,1.88,0.0
2023-10-06,Haryana,Gurugram,28.37015524993778,76.94146217624308,26.98,49.31,1.74,0.0
2023-10-06,Haryana,Hisar,29.239590948148248,75.81763293528249,28.99,35.12,2.17,0.0
2023-10-06,Haryana,Jhajjar,28.59801797300188,76.65110859741466,26.98,49.31,1.74,0.0
2023-10-06,Haryana,Jind,29.437717022786757,76.27614551401206,26.7,45.2,1.6,0.0
2023-10-06,Haryana,Kaithal,29.85338633918043,76.46879317699411,25.39,53.63,1.27,0.0
2023-10-06,Haryana,Karnal,29.704818373204336,76.91565469449591,25.39,56.22,1.44,0.0
2023-10-06,Haryana,Kurukshetra,30.060670122952907,76.7631052787682,24.63,65.37,1.18,0.0
2023-10-06,Haryana,Mahendragarh,28.13306603907548,76.16809085698935,28.11,42.4,2.08,0.0
2023-10-06,Haryana,Nuh,27.994038226060827,77.0415066894139,27.22,49.81,1.8,0.0
2023-10-06,Haryana,Palwal,28.059881010119238,77.32236384154979,26.14,56.72,1.69,0.0
2023-10-06,Haryana,Panchkula,30.699534905048324,76.98763552598416,24.14,65.02,1.34,0.0
2023-10-06,Haryana,Panipat,29.34200687791469,76.88923900130017,25.39,56.22,1.44,0.0
2023-10-06,Haryana,Rewari,28.218052063163164,76.58132633069286,27.22,49.81,1.8,0.0
2023-10-06,Haryana,Rohtak,28.890391271768912,76.58711212346486,26.43,50.11,1.66,0.0
2023-10-06,Haryana,Sirsa,29.607701636133694,74.90219049734955,28.07,40.09,1.96,0.0
2023-10-06,Haryana,Sonipat,29.04144661205219,76.92269022620889,26.43,50.11,1.66,0.0
2023-10-06,Haryana,Yamunanagar,30.21596046306505,77.32593352712522,23.95,74.02,1.09,0.0
2023-10-06,Punjab,Amritsar,31.768348175268173,74.83152910633842,24.4,67.26,1.0,0.0
2023-10-06,Punjab,Barnala,30.371680221986,75.50398867541129,25.18,55.8,1.18,0.0
2023-10-06,Punjab,Bathinda,30.17871971019124,75.04726349831094,26.39,48.2,1.69,0.0
2023-10-06,Punjab,Faridkot,30.601450692214996,74.7950175816776,25.37,53.42,1.36,0.0
2023-10-06,Punjab,Fatehgarh Sahib,30.66340418174693,76.38030000408074,25.02,59.42,1.1,0.0
2023-10-06,Punjab,Fazilka,30.31980391667596,74.12171938317266,26.31,46.14,1.52,0.0
2023-10-06,Punjab,Ferozepur,30.87509200657761,74.65246116977548,25.49,51.18,1.31,0.0
2023-10-06,Punjab,Gurdaspur,31.9037264151506,75.2275586781716,24.4,67.26,1.0,0.0
2023-10-06,Punjab,Hoshiarpur,31.609219596154738,75.84642415551608,24.8,63.94,1.01,0.0
2023-10-06,Punjab,Jalandhar,31.29216013175042,75.56799015005336,24.8,63.94,1.01,0.0
2023-10-06,Punjab,Kapurthala,31.385696002099188,75.30507242617082,24.32,65.49,1.09,0.0
2023-10-06,Punjab,Ludhiana,30.7894070063378,75.8269723540071,24.96,60.61,1.02,0.0
2023-10-06,Punjab,Malerkotla,30.53539665453949,75.90930476301081,25.18,55.8,1.18,0.0
2023-10-06,Punjab,Mansa,29.87609304897272,75.48897114252104,26.0,49.01,1.46,0.0
2023-10-06,Punjab,Moga,30.78789813490662,75.15948622899586,24.82,58.98,1.16,0.0
2023-10-06,Punjab,Pathankot,32.30240743677128,75.65917183518236,22.24,56.86,1.21,0.0
2023-10-06,Punjab,Patiala,30.209446568832767,76.3401900977164,25.39,53.63,1.27,0.0
2023-10-06,Punjab,Rupnagar,31.091852137104816,76.52884261538372,25.43,58.97,1.11,0.0
2023-10-06,Punjab,S A S Nagar,30.648369118470583,76.74153537716319,24.14,65.02,1.34,0.0
2023-10-06,Punjab,Sangrur,30.13610603133042,75.85318872676024,26.0,49.01,1.46,0.0
2023-10-06,Punjab,Shahid Bhagat Singh Nagar,31.1269689351848,76.15989883059602,25.43,58.97,1.11,0.0
2023-10-06,Punjab,Sri Muktsar Sahib,30.2867161417038,74.52622342534394,26.31,46.14,1.52,0.0
2023-10-06,Punjab,Tarn Taran,31.321239581691398,74.84163356037237,24.32,65.49,1.09,0.0
2023-10-07,Haryana,Ambala,30.343438108912817,76.95024921469127,24.08,65.4,1.19,0.0
